,Model D (MFDFB),Model B (MFDF),Realization
2001M01,1.159516,1.243723,1.302075
2001M02,0.937933,0.952403,1.302075
2001M03,0.962818,1.053482,1.302075
2001M04,1.155213,1.556459,0.75685
2001M05,0.875481,1.185751,0.75685
2001M06,0.875104,1.151304,0.75685
2001M07,1.24626,0.959717,0.444975
2001M08,1.106136,0.681614,0.444975
2001M09,1.079627,0.598803,0.444975
2001M10,0.277866,0.646282,-0.03225
2001M11,0.210689,0.66564,-0.03225
2001M12,0.209126,0.603536,-0.03225
2002M01,1.281098,0.892103,1.677525
2002M02,1.525112,1.178435,1.677525
2002M03,1.678324,1.346295,1.677525
2002M04,1.243365,1.991967,0.555325
2002M05,1.162177,1.826019,0.555325
2002M06,1.223896,2.010964,0.555325
2002M07,1.293189,1.429959,1.069075
2002M08,1.302466,1.38309,1.069075
2002M09,1.338289,1.387417,1.069075
2002M10,0.748727,0.937863,0.635125
2002M11,0.868651,1.115781,0.635125
2002M12,0.882024,1.061068,0.635125
2003M01,1.068124,1.612899,1.044425
2003M02,1.088368,1.624253,1.044425
2003M03,0.94786,1.419831,1.044425
2003M04,0.856142,0.869439,0.842175
2003M05,0.827903,0.916998,0.842175
2003M06,0.90253,0.872929,0.842175
2003M07,1.044044,1.544308,2.254325
2003M08,1.08189,1.58643,2.254325
2003M09,1.094561,1.631849,2.254325
2003M10,1.164892,1.812632,1.27795
2003M11,1.428921,1.825678,1.27795
2003M12,1.265917,2.019842,1.27795
2004M01,1.704161,1.929904,1.691075
2004M02,1.770913,1.985024,1.691075
2004M03,1.706383,1.956477,1.691075
2004M04,1.414491,1.757128,1.57615
2004M05,1.580118,2.053322,1.57615
2004M06,1.442313,1.81789,1.57615
2004M07,1.308333,1.608182,1.27615
2004M08,1.350823,1.621311,1.27615
2004M09,1.294304,1.643242,1.27615
2004M10,1.417645,1.737003,1.312425
2004M11,1.371273,1.599752,1.312425
2004M12,1.430465,1.697644,1.312425
2005M01,1.290702,1.519045,1.6037
2005M02,1.352406,1.69886,1.6037
2005M03,1.361072,1.7016,1.6037
2005M04,1.352016,1.662579,1.486275
2005M05,1.308789,1.621097,1.486275
2005M06,1.383849,1.716013,1.486275
